SUN,52.1,0,0,EVE,47.9,1,3,09/03/2008
TOT,55.4,4,3,WHU,44.6,0,0,09/03/2008
WIG,42.1,0,1,ARS,57.9,0,1,09/03/2008
AVL,54.7,1,1,MID,45.3,1,1,12/03/2008
CHE,71.5,6,3,DER,28.5,1,0,12/03/2008
POR,56.1,4,3,BIR,43.9,2,0,12/03/2008
ARS,74.3,1,1,MID,25.7,1,1,15/03/2008
DER,38.8,0,0,MUN,61.2,1,3,15/03/2008
LIV,60.6,2,3,RDG,39.4,1,0,15/03/2008
POR,49.5,2,3,AVL,50.5,0,0,15/03/2008
SUN,43.7,0,0,CHE,56.3,1,3,15/03/2008
WHU,51,2,3,BLB,49,1,0,15/03/2008
FUL,48.1,1,3,EVE,51.9,0,0,16/03/2008
MCI,47.3,2,3,TOT,52.7,1,0,16/03/2008
WIG,49.5,1,3,BOL,50.5,0,0,16/03/2008
BIR,39.5,1,1,NEW,60.5,1,1,17/03/2008
MUN,52.8,2,3,BOL,47.2,0,0,19/03/2008
TOT,50.3,4,1,CHE,49.7,4,1,19/03/2008
AVL,59.1,0,0,SUN,40.9,1,3,22/03/2008
BLB,56.6,3,3,WIG,43.4,1,0,22/03/2008
BOL,49.7,0,1,MCI,50.3,0,1,22/03/2008
EVE,48.8,1,1,WHU,51.2,1,1,22/03/2008
MID,46,1,3,DER,54,0,0,22/03/2008
NEW,50.7,2,3,FUL,49.3,0,0,22/03/2008
RDG,47.8,2,3,BIR,52.2,1,0,22/03/2008
TOT,54.2,2,3,POR,45.8,0,0,22/03/2008
CHE,52.5,2,3,ARS,47.5,1,0,23/03/2008
MUN,64.7,3,3,LIV,35.3,0,0,23/03/2008
BIR,33.7,3,3,MCI,66.3,1,0,29/03/2008
BOL,37.3,2,0,ARS,62.7,3,3,29/03/2008
DER,55.1,2,1,FUL,44.9,2,1,29/03/2008
MUN,55,4,3,AVL,45,0,0,29/03/2008
POR,51.8,2,3,WIG,48.2,0,0,29/03/2008
RDG,42.8,0,1,BLB,57.2,0,1,29/03/2008
SUN,52.3,2,3,WHU,47.7,1,0,29/03/2008
CHE,57.5,1,3,MID,42.5,0,0,30/03/2008
LIV,49.4,1,3,EVE,50.6,0,0,30/03/2008
TOT,48.5,1,0,NEW,51.5,4,3,30/03/2008
ARS,56.4,1,1,LIV,43.6,1,1,05/04/2008
AVL,52,4,3,BOL,48,0,0,05/04/2008
BLB,46.5,1,1,TOT,53.5,1,1,05/04/2008
FUL,56.5,1,0,SUN,43.5,3,3,05/04/2008
MCI,43.9,0,0,CHE,56.1,2,3,05/04/2008
NEW,62.6,3,3,RDG,37.4,0,0,05/04/2008
WIG,56.8,2,3,BIR,43.2,0,0,05/04/2008
EVE,51.9,1,3,DER,48.1,0,0,06/04/2008
MID,35.2,2,1,MUN,64.8,2,1,06/04/2008
WHU,53.2,0,0,POR,46.8,1,3,08/04/2008
BIR,43.3,1,1,EVE,56.7,1,1,12/04/2008
BOL,45.6,1,3,WHU,54.4,0,0,12/04/2008
DER,45.4,0,0,AVL,54.6,6,3,12/04/2008
POR,48.7,0,1,NEW,51.3,0,1,12/04/2008
RDG,48.1,0,0,FUL,51.9,2,3,12/04/2008
SUN,41.2,1,0,MCI,58.8,2,3,12/04/2008
TOT,48.2,1,1,MID,51.8,1,1,12/04/2008
LIV,54.4,3,3,BLB,45.6,1,0,13/04/2008
MUN,52.4,2,3,ARS,47.6,1,0,13/04/2008
CHE,60.4,1,1,WIG,39.6,1,1,14/04/2008
EVE,45.9,0,0,CHE,54.1,1,3,17/04/2008
ARS,71.3,2,3,RDG,28.7,0,0,19/04/2008
BLB,35,1,1,MUN,65,1,1,19/04/2008
FUL,49.1,0,0,LIV,50.9,2,3,19/04/2008
MID,59,0,0,BOL,41,1,3,19/04/2008
